,US Equity - Large Cap,US Equity - Small/Mid Cap,Non-US Equity - Developed,Non-US Equity - Emerging,US Corporate Bonds - Core,US Corporate Bonds - Long Duration,US Corporate Bonds - High Yield,Non-US Debt - Developed,Non-US Debt - Emerging,US Treasuries (Cash Equivalents),TIPS (Inflation-Protected),Real Estate,Hedge Funds,Commodities,Infrastructure,Private Equity,Private Debt
US Equity - Large Cap,1,,,,,,,,,,,,,,,,
US Equity - Small/Mid Cap,0.9,1,,,,,,,,,,,,,,,
Non-US Equity - Developed,0.82,0.77,1,,,,,,,,,,,,,,
Non-US Equity - Emerging,0.71,0.69,0.79,1,,,,,,,,,,,,,
US Corporate Bonds - Core,0.18,0.13,0.81,0.16,1,,,,,,,,,,,,
US Corporate Bonds - Long Duration,0.2,0.14,0.19,0.15,0.86,1,,,,,,,,,,,
US Corporate Bonds - High Yield,0.65,0.65,0.63,0.62,0.41,0.36,1,,,,,,,,,,
Non-US Debt - Developed,0.15,0.11,0.3,0.24,0.56,0.5,0.25,1,,,,,,,,,
Non-US Debt - Emerging,0.5,0.47,0.53,0.6,0.51,0.46,0.62,0.44,1,,,,,,,,
US Treasuries (Cash Equivalents),-0.08,-0.1,-0.07,-0.06,0.13,0.08,-0.09,0.13,0.02,1,,,,,,,
TIPS (Inflation-Protected),0.05,0.02,0.06,0.11,0.63,0.56,0.24,0.45,0.36,0.15,1,,,,,,
Real Estate,0.59,0.59,0.54,0.46,0.25,0.22,0.51,0.21,0.41,-0.02,0.16,1,,,,,
Hedge Funds,0.7,0.7,0.69,0.65,0.21,0.18,0.62,0.18,0.48,-0.03,0.13,0.45,1,,,,
Commodities,0.35,0.36,0.42,0.43,0.07,0.03,0.38,0.19,0.31,-0.01,0.18,0.26,0.4,1,,,
Infrastructure,0.63,0.61,0.65,0.59,0.28,0.33,0.6,0.3,0.51,-0.02,0.19,0.49,0.55,0.44,1,,
Private Equity,0.75,0.75,0.7,0.63,0.11,0.12,0.56,0.14,0.4,-0.07,0.03,0.49,0.62,0.34,0.57,1,
Private Debt,0.57,0.58,0.55,0.52,0.22,0.19,0.72,0.14,0.43,-0.1,0.06,0.43,0.57,0.34,0.5,0.59,1
