"Percentile","BlackRock","Research Affiliates","JP Morgan","BNY Mellon","Horizon10","Horizon20","Historical","Plan Assumptions"
"5 th percentile","0.0322858611290877","0.00842139289015359","0.0146162962718858","0.0133401553588787","0.0172609534160242","0.0240667088638659","0.0259663150895612","0.0275204101156899"
"10 th percentile","0.0413261509495468","0.0165199384635681","0.0222796959295475","0.0217972006477583","0.0262743264894729","0.0330930252855654","0.0350013323204597","0.0365389385497685"
"25 th percentile","0.0568492237601811","0.0304424250361196","0.0353293924588421","0.0362752351357801","0.0417971977523667","0.0486184464852236","0.0505428420603831","0.0520687359839853"
"50 th percentile","0.0753587039475994","0.0470205668597417","0.0509243523535109","0.053516581737194","0.0603625557475843","0.067155691713913","0.0690979738618788","0.070603752108971"
"75 th percentile","0.0934879225150955","0.063288005410991","0.0661860634083398","0.0704127421158948","0.0784804496883194","0.0852910744034692","0.08725233323984","0.0887310894335845"
"90 th percentile","0.110093521964778","0.0781483086547163","0.0801877698116098","0.085828918320908","0.0950776140849603","0.101877133254531","0.103858043963469","0.105327296155381"
"95 th percentile","0.120082396977344","0.087198830490423","0.0886177951300481","0.0952798281077616","0.105045193829411","0.111870114759991","0.113861740436296","0.115320982162018"
