"Return","BlackRock","Research Affiliates","JP Morgan","BNY Mellon","Horizon10","Horizon20","Historical","Plan Assumptions"
"9 %","0.2919","0.0372","0.0427","0.0748","0.1365","0.1957","0.2175","0.2346"
"8 %","0.43","0.0887","0.1019","0.1472","0.2318","0.3153","0.3399","0.3612"
"7.5 %","0.5048","0.1249","0.1459","0.1938","0.2917","0.3848","0.4123","0.4335"
"7 %","0.5779","0.1718","0.1981","0.2552","0.3575","0.4587","0.4877","0.5084"
"6.5 %","0.6496","0.2266","0.2659","0.3207","0.4298","0.5307","0.5596","0.582"
"6 %","0.712","0.2939","0.3416","0.3962","0.5046","0.6042","0.633","0.6523"
"5 %","0.8244","0.4497","0.5163","0.5547","0.6493","0.7335","0.7571","0.7754"
